"UKPRN","HE Provider","Total income","Total expenditure","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Total high skilled","Administrative and secretarial occupations","Skilled trades occupations","Caring, leisure and other service occupations","Total medium skilled","Sales and customer service occupations","Process, plant and machine operatives","Elementary occupations","Total low skilled","Unknown","Total"
10022047,"Empire College London Limited",4580,3141,30,10,15,50,15,10,20,40,20,20,25,65,5,165
10022087,"Futureworks",17683,17089,5,65,95,170,10,0,15,35,45,0,30,75,0,280
10022285,"London School of Management Education",15153,10805,60,50,55,165,45,10,115,165,45,40,55,140,20,490
10023434,"London School of Commerce & IT Limited",16891,11454,10,5,10,20,5,0,5,20,0,0,5,15,0,55
10023452,"The Markfield Institute of Higher Education",3499,2924,5,35,10,50,0,0,0,5,0,0,0,0,0,65
10023453,"Matrix College of Counselling and Psychotherapy Ltd",2120,1788,0,20,10,40,0,0,0,0,0,0,0,0,0,40
10023454,"Moorlands College",12595,12992,10,75,105,195,5,0,25,30,10,0,0,15,0,240
10023456,"Newbold College",14682,15234,0,20,10,25,0,0,0,5,0,0,0,0,0,35
10023458,"The Sherwood Psychotherapy Training Institute Limited",5790,5769,5,105,35,145,0,0,0,0,0,0,0,0,0,150
10023464,"Trinity College Bristol",12624,12957,0,160,10,185,0,0,0,5,0,0,0,0,0,185
10023777,"Mont Rose College of Management and Sciences",40445,29526,50,65,65,165,50,50,175,280,40,45,105,195,20,665
10024024,"Central Film School London",6433,8001,0,0,15,15,0,0,0,0,0,0,0,0,0,20
10025197,"University Centre Quayside Limited",8344,8132,15,10,10,30,0,0,0,0,0,0,0,0,0,40
10026767,"Dartington Hall Trust (The)",64233,77644,10,10,5,20,0,0,0,0,0,0,0,0,0,25
10026921,"Christ the Redeemer College",5792,4389,0,5,0,10,0,0,5,5,5,0,0,5,0,35
10028216,"Brit College",10241,9320,10,0,0,10,5,10,10,25,5,25,15,45,0,80
10030129,"Nelson College London Ltd",57749,46502,60,0,25,90,35,55,90,185,45,85,105,230,20,525
10030391,"London Churchill College Ltd",4562,4972,25,5,10,40,15,20,75,100,30,40,45,105,5,260
10030776,"St Mellitus College",20168,19413,15,250,50,320,5,0,5,10,0,0,0,0,0,335
10031982,"BPP University",502991,415249,200,5555,595,6355,240,20,105,370,95,30,95,205,45,6980
10032036,"Amity Global Education",11252,7831,0,0,0,5,5,0,0,5,5,0,0,5,0,20
10032072,"The Cambridge Theological Federation",5024,5004,0,80,5,95,0,0,0,0,0,0,0,0,0,95
10032277,"The Minster Centre",8702,8780,5,85,10,110,0,0,0,0,0,0,0,0,0,110
10032282,"The Queen's Foundation for Ecumenical Theological Education",11481,11675,0,60,0,60,0,0,0,0,0,0,0,0,0,60
10032288,"West Dean College",50366,59370,5,15,40,70,0,10,0,15,0,0,0,5,0,95
10032594,"London School of Academics Ltd",3936,2556,10,50,35,95,15,0,45,65,10,0,15,35,0,205
10033187,"Fairfield School of Business Ltd",8735,8236,20,0,5,25,10,0,30,40,10,10,25,45,5,115
10034324,"Court Theatre Training Company Ltd",2470,2263,0,0,0,0,5,0,0,5,0,0,5,5,0,25
10034449,"Leeds Conservatoire",84974,93927,25,120,310,455,40,30,40,115,50,15,100,160,0,735
10035638,"Institute of Contemporary Music Performance",39144,38016,20,90,230,345,25,20,25,80,30,0,60,95,0,515
10037449,"University of St Mark and St John",175781,178632,90,1240,455,1785,55,40,240,335,80,25,105,205,5,2335
10037544,"BIMM University",273368,198709,115,365,880,1360,205,110,135,455,255,35,370,655,10,2480
10039082,"City and Guilds of London Art School",14149,13852,15,25,55,100,0,10,0,25,0,0,10,10,0,135
